Bernabei Code;Name;Current Price;Ordinary Price;Lowest Price 30 Days;Tags;Category;Last Checked;Link;Image URL
19132;Valpolicella Ripasso Superiore Fulminato 2023;6,8;11,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.251408;https://www.bernabei.it/valpolicella-doc-ripasso-superiore-fulminato;https://www.bernabei.it/ARTICOLI200/S_11831.png
101157739020991770549970;Nero Di Troia Passera Scopaiola Masseria Spaccafico 2024;9,2;;;BEST PRICE,BEST PRICE,È il prezzo più basso in 30 gg;/vino-online/;2026-02-08 11:26:19.434777;https://www.bernabei.it/nero-di-troia-passera-scopaiola-masseria-spaccafico;https://www.bernabei.it/ARTICOLI200/S_6274.png
15607;Amarone Fulminato 2022;13,9;25,8;13,5;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.300230;https://www.bernabei.it/amarone-fulminato;https://www.bernabei.it/ARTICOLI200/S_9287.png
193813057467521770549970;Pinot Grigio LeBoem 2024;9,3;;5,5;POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-08 11:26:19.484460;https://www.bernabei.it/pinot-grigio-boem-2024;https://www.bernabei.it/ARTICOLI200/S_2081.png
1937;Chardonnay LeBoem 2024;5,9;8,9;5,3;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.357294;https://www.bernabei.it/chardonnay-leboem-2024;https://www.bernabei.it/ARTICOLI200/S_2080.png
3161;Valpolicella Ripasso Classico Superiore Per Te Bovaro 2023;6,9;12,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.381007;https://www.bernabei.it/valpolicella-ripasso-classico-superiore-per-te-bovaro;https://www.bernabei.it/ARTICOLI200/S_3110.png
19676;Pecorino L'Orso Talamonti 2025;5,0;5,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.408210;https://www.bernabei.it/abruzzo-doc-pecorino-l-orso-talamonti;https://www.bernabei.it/ARTICOLI200/S_12371.png
1763;Montepulciano D'Abruzzo Mascoli Rupicapra 2024;5,8;8,2;4,9;POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.434664;https://www.bernabei.it/montepulciano-d-abruzzo-mascoli-rupicapra-2024;https://www.bernabei.it/ARTICOLI200/S_924.png
3162;Amarone Classico Passo Del Bovaro 2022;13,9;26,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.463362;https://www.bernabei.it/amarone-classico-passo-del-bovaro-2022;https://www.bernabei.it/ARTICOLI200/S_3111.png
1941;Gewürztraminer LeBoem 2024;7,5;12,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.489120;https://www.bernabei.it/gewurztraminer-boem;https://www.bernabei.it/ARTICOLI200/S_2084.png
11201;Brunello Di Montalcino I Palazzi 2020;15,9;26,2;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.513265;https://www.bernabei.it/brunello-di-montalcino-docg-i-palazzi;https://www.bernabei.it/ARTICOLI200/S_7161.png
1233;Montefalco Rosso Arnaldo Caprai 2023;9,9;12,0;9,5;Premiato,POPULAR,POPULAR,Special Price,Prezzo più basso:,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.541001;https://www.bernabei.it/montefalco-rosso-arnaldo-caprai-2023;https://www.bernabei.it/ARTICOLI200/S_269.png
5464;Ribolla Gialla Baloc 2025;5,9;9,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.563310;https://www.bernabei.it/ribolla-gialla-baloc;https://www.bernabei.it/ARTICOLI200/S_4446.png
1247;Tellus Syrah Falesco Cotarella 2023;7,9;8,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.590526;https://www.bernabei.it/tellus-syrah-falesco-cotarella;https://www.bernabei.it/ARTICOLI200/S_283.png
536811025179851770549970;Nebbiolo Della Marmora 2024;12,9;;7,0;Codice sconto,POPULAR,POPULAR,Prezzo più basso:;/vino-online/;2026-02-08 11:26:19.743495;https://www.bernabei.it/nebbiolo-della-marmora;https://www.bernabei.it/ARTICOLI200/S_4341.png
1556;Vermentino Di Gallura Funtanaliras Cantina Del Vermentino 2024;9,9;11,9;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.663464;https://www.bernabei.it/vermentino-di-gallura-funtanaliras-cantina-del-vermentino-2024;https://www.bernabei.it/ARTICOLI200/S_661.png
1746;Chianti Poggio Degli Uberti 2023;4,9;8,2;;BEST PRICE,BEST PRICE,Special Price,È il prezzo più basso in 30 gg,Prezzo ordinario:;/vino-online/;2026-02-09 06:50:10.691145;https://www.bernabei.it/chianti-poggio-degli-uberti-2023;https://www.bernabei.it/ARTICOLI200/S_904.png
